-4000.0000000	5818.1821289	-44285.7148437
-5363.6367187	6000.0000000	-44795.9179687
-6090.9091796	6363.6362304	-45204.0820312
-6909.0908203	6181.8178710	-44795.9179687
-7909.0908203	6454.5449218	-45612.2460937
-8272.7275390	7000.0000000	-45510.2031250
-8818.1816406	8000.0000000	-45306.1210937
-8727.2734375	8272.7275390	-45408.1601562
-8818.1816406	8363.6367187	-45204.0820312
-9363.6357421	8818.1816406	-45510.2031250
-9909.0908203	8636.3642578	-45510.2031250
-10727.2734375	8727.2734375	-45918.3671875
-11000.0000000	9000.0000000	-45918.3671875
-11909.0908203	8727.2734375	-46224.4921875
-12090.9091796	8545.4550781	-46428.5703125
-12181.8183593	8636.3642578	-46632.6523437
-12636.3642578	9000.0000000	-46122.4492187
-11818.1816406	9909.0908203	-45714.2851562
-12000.0000000	10363.6357421	-45306.1210937
-12090.9091796	10818.1816406	-45000.0000000
-11727.2734375	12454.5458984	-44285.7148437
-11363.6367187	12545.4541015	-43979.5898437
-11090.9091796	13000.0000000	-43367.3476562
-11000.0000000	13727.2734375	-43061.2226562
-11454.5458984	15090.9101562	-41428.5742187
-11818.1816406	16727.2734375	-40204.0820312
-11000.0000000	17545.4531250	-38979.5898437
-11090.9091796	18272.7285156	-38061.2265625
-11090.9091796	18909.0898437	-36836.7343750
-11272.7265625	20000.0000000	-35714.2851562
-11363.6367187	20181.8183593	-34897.9609375
-10818.1816406	20454.5468750	-34285.7187500
-9909.0908203	21000.0000000	-33469.3867187
-8818.1816406	21818.1816406	-31836.7324218
-7000.0000000	22272.7265625	-30714.2851562
-6272.7270507	22909.0917968	-29387.7539062
-4181.8183593	22454.5449218	-29081.6347656
-2000.0000000	22363.6367187	-28265.3066406
272.7272949	22181.8183593	-27755.1015625
2181.8183593	21363.6367187	-27653.0625000
4636.3632812	19272.7265625	-28265.3066406
7000.0000000	18090.9101562	-28979.5917968
8090.9091796	15909.0908203	-30204.0820312
9727.2724609	13636.3642578	-31836.7324218
11272.7265625	11454.5458984	-33673.4687500
11909.0908203	8181.8178710	-36020.4101562
11909.0908203	4818.1816406	-38469.3906250
12909.0898437	2000.0000000	-40408.1640625
11909.0908203	-727.2727661	-42346.9375000
10818.1816406	-2818.1816406	-44897.9570312
8000.0000000	-6000.0000000	-47448.9804687
4181.8183593	-9000.0000000	-50000.0000000
363.6363830	-11090.9091796	-52040.8164062
-3454.5454101	-13000.0000000	-53163.2656250
-7545.4550781	-14727.2724609	-54285.7187500
-11818.1816406	-15090.9101562	-54591.8359375
-14272.7265625	-14545.4541015	-54387.7539062
-16818.1816406	-14090.9091796	-54795.9218750
-18363.6367187	-14000.0000000	-54183.6757812
-20727.2714843	-14272.7265625	-54183.6757812
-22727.2734375	-14363.6357421	-53877.5507812
-25000.0000000	-14272.7265625	-53469.3906250
-27181.8203125	-13909.0908203	-52857.1445312
-28909.0898437	-14000.0000000	-52346.9375000
-31090.9101562	-14181.8183593	-51836.7343750
-34000.0000000	-14272.7265625	-50714.2812500
-35363.6367187	-14545.4541015	-49795.9218750
-37272.7265625	-14272.7265625	-49285.7148437
-37818.1796875	-15272.7275390	-48571.4296875
-38363.6367187	-15454.5458984	-48367.3476562
-37636.3632812	-14909.0917968	-48673.4687500
-35272.7265625	-11636.3642578	-48877.5507812
-32363.6367187	-7363.6362304	-48673.4687500
-28090.9101562	-2545.4545898	-48367.3476562
-24272.7285156	2272.7272949	-46938.7773437
-21272.7285156	5818.1821289	-45408.1601562
-19818.1816406	7636.3637695	-44591.8398437
-16636.3632812	9272.7265625	-43367.3476562
-14090.9091796	11272.7265625	-41938.7734375
-11909.0908203	12636.3642578	-41020.4101562
-8909.0908203	14000.0000000	-38877.5468750
-6090.9091796	15272.7275390	-36734.6953125
-2818.1816406	16363.6357421	-34795.9179687
272.7272949	17363.6367187	-32142.8574218
2909.0910644	18454.5468750	-29489.7968750
5909.0908203	18818.1816406	-25816.3281250
9454.5449218	18272.7285156	-23673.4687500
12363.6357421	17272.7285156	-22448.9785156
14545.4541015	15545.4550781	-22857.1425781
16272.7255859	12909.0898437	-24489.7949218
18090.9101562	10636.3642578	-26020.4082031
19545.4550781	7272.7270507	-27346.9394531
21090.9082031	3636.3635253	-29795.9179687
21909.0898437	181.8181915	-31632.6523437
22090.9082031	-2454.5454101	-33979.5898437
20000.0000000	-5818.1821289	-37448.9765625
18181.8183593	-9545.4541015	-41326.5312500
14818.1806640	-10818.1816406	-44387.7578125
11272.7265625	-11454.5458984	-46224.4921875
5909.0908203	-12000.0000000	-49387.7578125
1272.7272949	-12000.0000000	-50816.3242187
-3818.1818847	-10727.2734375	-51836.7343750
-8909.0908203	-10181.8183593	-52448.9804687
-13000.0000000	-9454.5449218	-52142.8593750
-17545.4531250	-7272.7270507	-51224.4882812
-18454.5468750	-5181.8178710	-50816.3242187
-19727.2734375	-3818.1818847	-50204.0781250
-19818.1816406	-2454.5454101	-49489.7968750
-19636.3632812	-2272.7272949	-49795.9218750
-19363.6367187	-2636.3635253	-49693.8789062
-19363.6367187	-2636.3635253	-49693.8789062
-19363.6367187	-3000.0000000	-49897.9609375
-18727.2714843	-3818.1818847	-50306.1210937
-17818.1816406	-3818.1818847	-50306.1210937
-17636.3632812	-3545.4545898	-50306.1210937
-15818.1816406	-2727.2727050	-49897.9609375
-14545.4541015	-1545.4544677	-49489.7968750
-13363.6367187	-1090.9091796	-49387.7578125
-12545.4541015	-272.7272949	-48469.3867187
-10818.1816406	1181.8181152	-48265.3046875
-9090.9091796	2727.2727050	-47040.8164062
